source,target,type,unit,data-source,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24,value25,value26,value27,value28,value29,value30,value31,value32,value33,value34,value35,value36,value37,value38,value39,value40,value41,value42,value43,value44,value45,value46,value47,value48,value49,value50,value51,value52,value53,value54,value55,value56,value57,value58,value59,value60,value61,value62,value63,value64,value65,value66,value67,value68,value69,value70,value71,value72,value73,value74,value75,value76,value77,value78,value79,value80,value81,value82,value83,value84,value85,value86,value87,value88,value89,value90,value91,value92,value93,value94,value95,value96,value97,value98,value99,value100
Geothermal,Electric Grid,,Trillion Btu,http://www.eia.gov/totalenergy/data/browser/xls.cfm?tbl=T07.02B,,,,,,,,,,,,0.113856342,0.320812968,0.342790572,0.573079423,0.695363755,0.645624966,0.641441681,1.079291107,1.487100038,2.097477581,1.791998778,1.869007402,4.957142299,6.70729116,8.368741399,11.07639862,12.33969288,12.22343439,10.16009528,13.26970961,17.31006405,19.40199349,16.52454127,20.72910503,26.41169594,31.81900549,35.17218531,36.76739565,35.14533176,49.79488415,52.6639152,54.47975461,55.06500514,57.28497861,53.00915569,45.64851788,48.89148553,50.24753886,50.41070747,50.59185807,48.08785793,46.88453207,49.44640212,49.21751566,50.53716144,50.13033179,49.70818163,49.94423359,50.63611355,51.2116736,51.93010002,52.26060005,53.10121527,56.35755851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar,Electric Grid,,Trillion Btu,http://www.eia.gov/totalenergy/data/browser/xls.cfm?tbl=T07.02B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017906919,0.036271066,0.047879171,0.035817251,0.031030016,0.855086105,1.252552835,1.609728996,1.363628281,1.577951721,1.660423184,1.695223617,1.778425278,1.744177613,1.714509041,1.689289902,1.683465377,1.85195693,1.893161953,1.822087043,1.962510319,1.877681066,1.732364778,2.087524364,2.948892222,3.040685656,4.113715483,5.893734231,14.20829423,30.42993628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind,Electric Grid,,Trillion Btu,http://www.eia.gov/totalenergy/data/browser/xls.cfm?tbl=T07.02B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009103594,0.022144799,0.01966076,0.014293461,0.012082394,0.002971975,7.206589845,9.515098149,10.06906276,9.852637436,10.25630744,11.76202412,10.79687939,11.03510147,11.2192411,10.32410328,15.31368481,19.08499871,22.98872758,35.33026984,38.17323212,48.26044406,60.77211911,90.7259115,117.5480403,188.9067383,252.1092235,322.9120495,409.8695235,480.2544986,571.7626777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Grid,Residential,,Trillion Btu,http://www.eia.gov/totalenergy/data/browser/xls.cfm?tbl=T07.03,227.9036546,246.3577858,283.5244737,319.1883554,355.3618917,396.5873732,438.1210803,489.5619782,534.7619974,578.3315315,629.6905652,687.4215892,731.7162103,794.353017,855.6035593,927.5636745,992.9763847,1081.267965,1160.51692,1301.97036,1456.083957,1591.049527,1704.473929,1837.810819,1976.419485,1972.844649,2006.818319,2069.300396,2201.646754,2301.373517,2329.875136,2448.194559,2464.470556,2489.22477,2562.341759,2661.783228,2709.014734,2794.845338,2901.72022,3046.58573,3089.778301,3152.88267,3260.019314,3193.555702,3394.333042,3441.08233,3557.162669,3693.683407,3671.055261,3856.092375,3906.639663,4068.796313,4100.051879,4316.9729,4353.291876,4408.424127,4637.875396,4611.577779,4750.523461,4708.690974,4655.779961,4932.961827,4854.798841,4690.038856,4746.595397,4684.906,4744.355,4763.711,4797.069,4826.524,4857.667,4838.751,4858.221,4892.464,4931.708,4970.412,5003.901,5042.838,5083.115,5126.204,5171.483,5206.843,5241.703,5279.234,5321.542,5365.077,5409.202,5453.144,5499.165,5549.412,5600.741,5652.303,,,,,,,,,
Electric Grid,Commercial,,Trillion Btu,http://www.eia.gov/totalenergy/data/browser/xls.cfm?tbl=T07.02,200.1125663,225.1031291,252.3708256,273.2980634,296.9398852,319.3590308,349.905966,380.1932133,410.6961797,435.2738734,487.8798606,543.0211408,572.0660137,620.8885467,687.5918653,737.8207227,788.6356257,859.2690252,925.2168376,1014.001384,1107.778589,1201.212363,1288.062764,1407.624613,1516.715643,1501.396239,1597.892615,1678.012638,1753.938679,1813.345648,1854.19809,1906.168327,2033.323873,2077.134338,2116.52448,2264.568574,2351.379773,2438.730049,2538.860922,2675.218949,2766.755234,2860.272441,2918.213165,2900.344004,3018.879819,3115.645941,3252.17104,3344.107344,3502.993671,3678.141679,3766.394303,3955.854934,4062.215606,4110.031438,4090.22835,4198.383447,4350.750206,4434.90957,4559.696711,4558.556848,4460.241712,4538.828626,4531.520075,4528.257238,4566.974168,4470.541,4509.252,4532.7,4567.218,4605.477,4646.132,4687.283,4735.255,4790.438,4846.118,4894.238,4942.159,4991.76,5039.457,5088.975,5138.614,5177.16,5215.879,5261.188,5312.66,5365.467,5419.548,5475.7,5534.65,5597.239,5659.426,5715.889,,,,,,,,,
Electric Grid,Industrial,,Trillion Btu,http://www.eia.gov/totalenergy/data/browser/xls.cfm?tbl=T07.01,418.2975918,499.8061794,566.9889551,600.9719545,677.7131353,711.3112041,887.069432,975.6931879,1003.134361,977.7488599,1075.283557,1106.905252,1149.297873,1227.871896,1287.843384,1382.084767,1462.878152,1581.880481,1654.940552,1778.179277,1908.701767,1947.835363,2011.280025,2187.107438,2341.019804,2336.890751,2346.460369,2572.989793,2682.07,2760.688726,2872.692275,2781.124042,2817.553598,2541.871918,2647.819475,2858.815525,2855.184566,2833.887704,2928.412271,3058.978546,3158.47848,3226.253938,3229.876595,3319.037899,3334.222817,3439.374768,3455.453138,3526.896655,3542.474835,3586.853907,3610.784942,3631.335541,3400.572115,3378.831044,3454.360901,3473.046761,3477.504837,3450.690525,3507.1081,3443.875602,3130.442256,3312.755751,3382.509104,3363.395277,3257.658327,3451.379,3589.386,3737.175,3870.806,3956.843,3991.822,4041.224,4094.602,4148.361,4197.812,4235.029,4274.886,4303.447,4322.894,4335.852,4335.053,4334.883,4330.503,4322.618,4316.565,4317.074,4316.677,4320.533,4327.825,4336.185,4341.107,4343.502,,,,,,,,,
Electric Grid,Transportation,,Trillion Btu,http://www.eia.gov/totalenergy/data/browser/xls.cfm?tbl=T07.00,22.11490541,23.17881117,24.09352103,21.82350169,21.93325322,20.04932452,19.87823292,18.53802558,16.18745239,14.51772771,14.41907246,10.46055824,10.31617688,10.16694686,9.955039218,10.01110071,9.974058496,9.64251093,10.01068442,10.21525255,10.42079996,10.627197,10.46283755,10.37133073,10.53242818,9.721723798,10.14935727,10.0596043,10.42896863,10.02777243,10.11761753,11.06969717,10.87103205,11.00236879,12.67596626,14.29370696,14.14885473,15.05780831,15.5674219,15.93113914,16.27629432,16.21164789,16.23648145,16.05667183,16.27909569,17.04107469,16.97376678,16.79721575,16.74451522,16.92967509,17.49129995,18.36326933,19.53220764,18.82546098,23.2357564,24.64808959,25.61263037,25.10497876,27.88605162,26.27223488,26.54841704,26.31584205,26.17823721,24.97697227,25.6779217,25.548,26.916,28.069,29.159,30.168,31.014,31.772,32.462,33.19,33.961,34.823,35.813,36.98,38.3,39.823,41.469,43.203,45.057,46.955,48.915,50.837,52.72,54.629,56.544,58.431,60.276,62.08,,,,,,,,,
Residential,"Heating, Residential",,Trillion Btu,http://www.eia.gov/totalenergy/data/annual/xls/stb0205.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6940,5441.519168,5210,5220,4620,4659.69413,5080,5233.955187,5127.546958,4930,4784.88072,4733.12239,4790,4954.670083,5161.815336,5330,5396.469291,5373.192325,5290.819197,5180,5064.27132,4938.715722,4791.302262,4610,4398.320428,4221.944787,4162.096753,4300,4675.263751,5161.039406,5588.863912,5790.274215,5596.807263,4840,4070,5000,4780,4510,4480,4450,4410,4380,4360,4330,4310,4280,4250,4220,4200,4170,4150,4120,4090,4060,4030,4000,3970,3950,3910,3890,3860,3830,3810,,,,,,,,,
Residential,"Cooling, Residential",,Trillion Btu,http://www.eia.gov/totalenergy/data/annual/xls/stb0205.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,354.5784953,360,340,310,302.2236358,320,356.606314,400.7509341,440,464.7331601,476.5840966,480,478.5351195,472.1719387,460,442.4367282,425.2110789,415.3798901,420,444.5012124,487.8051946,547.2065794,620,701.7459221,781.0681428,844.8562921,880,878.4576545,852.462676,819.3172429,796.3235335,800.7837264,850,880,720,770,840,850,870,880,890,910,930,950,960,980,1000,1020,1030,1050,1070,1090,1110,1120,1140,1160,1180,1200,1220,1230,1250,1270,,,,,,,,,
Residential,"Water Heating, Residential",,Trillion Btu,http://www.eia.gov/totalenergy/data/annual/xls/stb0205.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1530,1691.187305,1740,1710,1640,1618.068141,1630,1638.966883,1640.918698,1640,1640.671406,1648.657769,1670,1708.717862,1760.746522,1820,1879.024464,1924.894678,1943.317552,1920,1849.501061,1761.788292,1695.681377,1690,1769.06504,1899.202153,2032.238189,2120,2127.147233,2069.670725,1976.394113,1876.141031,1797.735115,1770,1790,1780,1790,1770,1770,1770,1770,1760,1770,1770,1770,1780,1780,1780,1780,1780,1780,1780,1780,1770,1770,1760,1750,1740,1730,1720,1710,1710,1710,,,,,,,,,
Residential,Appliances and Electronics,,Trillion Btu,http://www.eia.gov/totalenergy/data/annual/xls/stb0205.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770,1860.323312,1950,2000,1980,1968.123955,1980,2007.995378,2048.756601,2100,2158.560922,2217.750779,2270,2311.094269,2350.240284,2400,2469.241386,2552.056479,2638.843333,2720,2788.170068,2844.979255,2894.298815,2940,2987.297093,3046.7765,3130.367657,3250,3410.229321,3586.116828,3745.350086,3855.616658,3884.604108,3800,3670,3740,3680,3690,3700,3720,3730,3750,3730,3710,3730,3740,3760,3770,3800,3820,3830,3870,3870,3910,3920,3940,3970,4000,4010,4070,4090,4130,4150,,,,,,,,,
Commercial,"Heating, Commercial",,Trillion Btu,http://www.eia.gov/consumption/commercial/data/2003/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1915,1797.983,1729.596,1703,1711.728,1750.807,1815.635,1901.613,2004.139,2118.613,2240.433,2365,2486.016,2590.402,2663.38,2690.176,2656.012,2546.112,2345.7,2040,1820,2160,2100,2020,2030,2040,2030,2020,2010,2010,2000,1990,1980,1970,1960,1950,1940,1930,1910,1900,1890,1880,1870,1850,1840,1830,1820,1810,1790,,,,,,,,,
Commercial,"Cooling, Commercial",,Trillion Btu,http://www.eia.gov/consumption/commercial/data/2003/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462,404.9361,368.2343,350,348.0935,359.3936,380.5335,408.1468,438.8666,469.3266,496.1599,516,526.5956,530.1564,530.0077,529.4745,531.882,540.5554,558.8196,590,600,510,520,550,550,550,550,550,550,550,560,560,560,560,560,570,570,570,570,570,570,580,580,580,590,590,590,600,600,,,,,,,,,
Commercial,"Water Heating, Commercial",,Trillion Btu,http://www.eia.gov/consumption/commercial/data/2003/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,153.3892,152.1649,162,181.4822,208.859,242.2927,279.9459,319.9808,360.5598,399.8455,436,467.5726,494.6592,517.7423,537.3048,553.8291,567.798,579.6941,590,600,610,610,610,620,620,630,630,630,640,640,640,650,650,650,650,660,660,660,660,660,660,660,660,660,660,670,670,670,,,,,,,,,
Commercial,Ventilation,,Trillion Btu,http://www.eia.gov/consumption/commercial/data/2003/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,858,852.8114,836.6615,811,777.4011,737.937,694.8044,650.2001,606.3207,565.3631,529.524,501,481.422,470.157,466.006,467.7702,474.2507,484.2484,496.5645,510,520,520,530,530,530,540,540,540,550,550,560,560,570,570,570,580,580,580,590,590,590,590,600,600,600,610,610,610,620,,,,,,,,,
Commercial,Cooking,,Trillion Btu,http://www.eia.gov/consumption/commercial/data/2003/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1161,1152.672,1167.416,1202,1252.285,1310.497,1367.953,1415.971,1445.867,1448.959,1416.564,1340,1214.714,1052.672,869.9729,682.7124,506.9878,358.8962,254.5346,210,220,220,220,220,220,230,230,230,230,230,230,240,240,240,240,240,240,250,250,250,250,250,250,260,260,260,260,260,260,,,,,,,,,
Commercial,Lighting,,Trillion Btu,http://www.eia.gov/consumption/commercial/data/2003/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,236.3528,233.024,217,190.8922,159.8104,129.4892,105.6631,94.06664,100.4343,130.5005,190,281.8278,397.5219,525.7809,655.3034,774.788,872.9332,938.4377,960,940,920,900,890,890,880,880,880,880,880,880,880,880,880,880,880,880,880,870,860,860,850,850,850,850,840,840,840,840,,,,,,,,,
Commercial,Refrigeration,,Trillion Btu,http://www.eia.gov/consumption/commercial/data/2003/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,144.9008,161.4722,182,205.7275,231.7259,259.0238,286.6495,313.6316,338.9984,361.7784,381,395.8869,406.4431,412.8681,415.3611,414.1214,409.3485,401.2416,390,380,380,370,370,370,370,370,370,370,370,370,370,370,370,370,370,380,380,380,380,380,390,390,390,390,400,400,400,410,,,,,,,,,
Commercial,Office Equipment,,Trillion Btu,http://www.eia.gov/consumption/commercial/data/2003/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,269.9016,311.507,334,339.832,332.5251,315.8692,293.6542,269.6699,247.7062,231.553,225,230.6204,246.1204,267.9894,292.7169,316.7922,336.7049,348.9444,350,340,330,320,310,310,310,310,310,310,300,310,320,310,320,330,340,330,340,350,360,350,360,370,380,380,390,400,400,400,,,,,,,,,
Commercial,"Other, Commercial",,Trillion Btu,http://www.eia.gov/consumption/commercial/data/2003/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,393.997,391.4642,359,303.147,238.2248,180.4968,146.2269,151.6786,213.1156,346.8015,569,887.1375,1273.291,1690.701,2102.608,2472.251,2762.871,2937.707,2960,2880,2940,2960,3010,3070,3110,3160,3210,3260,3310,3360,3410,3470,3520,3580,3630,3690,3750,3810,3880,3950,4030,4100,4180,4270,4350,4440,4540,4620,,,,,,,,,
Industrial,Petroleum and Coal Products,,Trillion Btu,http://www.eia.gov/consumption/manufacturing/data/2010/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5967,5964.235,6099.919,6339,6641.611,6948.617,7196.064,7320,7279.869,7128.704,6942.937,6799,6752.914,6779.067,6831.436,6864,6834.819,6718.279,6492.85,6137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industrial,Chemicals,,Trillion Btu,http://www.eia.gov/consumption/manufacturing/data/2010/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5051,5098.495,5195.113,5328,5485.847,5663.522,5857.436,6064,6272.127,6440.727,6521.214,6465,6242.99,5904.069,5516.613,5149,4865.709,4715.622,4743.724,4995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industrial,Paper,,Trillion Btu,http://www.eia.gov/consumption/manufacturing/data/2010/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2506,2550.873,2605.677,2665,2721.991,2764.028,2777.052,2747,2666.814,2557.447,2446.856,2363,2326.021,2324.81,2340.444,2354,2348.118,2311.689,2235.165,2109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industrial,Primary Metals,,Trillion Btu,http://www.eia.gov/consumption/manufacturing/data/2010/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2467,2424.284,2426.865,2462,2515.176,2564.806,2587.533,2560,2467.442,2329.461,2174.249,2030,1918.805,1838.35,1780.221,1736,1698.494,1665.387,1635.587,1608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industrial,Food,,Trillion Btu,http://www.eia.gov/consumption/manufacturing/data/2010/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,956,1098.799,1173.484,1193,1171.318,1126.519,1077.711,1044,1039.506,1058.391,1089.831,1123,1149.096,1167.415,1179.276,1186,1188.501,1186.074,1177.61,1162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industrial,"Other, Industrial",,Trillion Btu,http://www.eia.gov/consumption/manufacturing/data/2010/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3310,3412.419,3537.443,3676,3817.092,3942.032,4030.205,4061,4023.146,3942.737,3855.209,3796,3788.95,3811.522,3829.582,3809,3717.961,3533.927,3236.679,2806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,"Cars, Light Trucks, Motorcycles",,Trillion Btu,http://cta.ornl.gov/data/spreadsheets.shtml,,,,,,,,,,,,,,,,,,,,,,10025,10620,11410,11915,11399,11696,12443,12741,13172,12707,11801,11683,11535,11814,12056,12368,12790,13000,13261,13414,13163,12826,13310,13749,14011,14209,14575,14903,15266,15762,15733,15863,16298,16830,17217,16899,16858,16959,16464,16241,15558,15823,16004.6,15959.5,15733.4,15551.5,15462.5,15350.3,15191.3,14983.4,14767,14538.7,14295.4,14045.4,13788,13515.8,13274,13060.6,12880.8,12723.2,12587.6,12478.5,12390.1,12319.2,12256.3,12204.5,12165,12138,12124.1,12116.8,12110.5,,,,,,,,,
Transportation,Bus,,Trillion Btu,http://cta.ornl.gov/data/spreadsheets.shtml,,,,,,,,,,,,,,,,,,,,,,129,125,124,122,121,124,134,137,141,144,143,145,151,152,146,153,160,164,169,169,167,177,184,183,183,184,186,192,196,203,209,196,192,190,194,196,199,195,200,199,190,194,236.8,242.2,242,241.9,243.6,245.4,247.2,249,250.9,252.7,254.6,256.5,258.5,260.4,262.3,264.2,266.1,268,270,271.9,273.7,275.6,277.5,279.4,281.2,283.1,284.9,286.7,288.4,,,,,,,,,
Transportation,Freight Trucks,,Trillion Btu,http://cta.ornl.gov/data/spreadsheets.shtml,,,,,,,,,,,,,,,,,,,,,,1553,1621,1779.1,1965.1,1968,2003,2114,2344,2607,2697,2686,2724,2707,2770,2873,2883,2958,3061,3118,3199,3334,3402,3468,3577,3778,3937,4045,4086,4218,4638,4819,4813,5035,4895,4535,5088,5193,6460,6527,6061,6160,5798,5025,5230.5,5335.3,5506.8,5675.3,5749.6,5779.4,5819.4,5866.5,5923,5987.3,6055.3,6116.1,6189,6257.3,6310.6,6356.9,6407.5,6469.3,6527.9,6573.7,6634,6718,6803.5,6893.1,6980.4,7067.3,7145.6,7229.3,,,,,,,,,
Transportation,"Rail, Passenger",,Trillion Btu,http://cta.ornl.gov/data/spreadsheets.shtml,,,,,,,,,,,,,,,,,,,,,,26.5,26.4,25.1,24.1,41,40.7,40.6,38.3,37.7,41.9,39.3,40,40.2,42.9,62.1,61.9,65.5,67.7,69.6,72.4,71.3,72.2,70.8,73.4,73.6,73.1,72.6,74.3,76,79,85,85.7,84.7,83.1,83.8,85.6,85.5,90.1,91.5,93.4,92.9,94.4,47.2,48.3,48.6,48.6,48.8,49.1,49.4,49.7,50.1,50.5,51,51.4,52,52.5,52.9,53.4,53.9,54.3,54.8,55.3,55.7,56.2,56.7,57.2,57.8,58.4,59.1,59.8,60.5,,,,,,,,,
Transportation,"Rail, Freight",,Trillion Btu,http://cta.ornl.gov/data/spreadsheets.shtml,,,,,,,,,,,,,,,,,,,,,,528.1,530.2,554.4,577.1,579.1,518.3,540.3,552.7,550.4,564.8,548.7,521,440.8,435.1,469.9,436.1,421.5,430.3,441.4,442.6,434.7,405.8,419.2,431.6,465.4,485.9,499.4,499.7,502,520,516,517.3,520.3,533.9,566.2,571.4,584.5,566.9,542.5,446.6,488.1,514.6,483.7,440.1,446.4,444.4,425.5,437.4,444.8,446.6,446.7,448.7,452.3,454.1,454.8,457.6,454.2,454.4,449.4,448.7,447.6,443.6,443.2,438.7,434.4,433.2,433,425.7,424,420.8,419,,,,,,,,,
Transportation,Shipping,,Trillion Btu,http://cta.ornl.gov/data/spreadsheets.shtml,,,,,,,,,,,,,,,,,,,,,,678.5,617.1,630.4,733.7,714.3,759.9,913.9,1005.9,1208.9,973.9,1215.9,1090.9,881.9,790.9,778.9,683.9,1133.9,1186.9,1222.3,1317.7,1240.2,1316.8,1388.5,1222.2,1170.9,1236.7,1171.5,1009.1,989.8,1124,1210.6,941.1,1001.3,827.8,1052.8,1121.9,1204.1,1313.2,1214.3,1095.4,1239.8,1143.1,675.4,643,661.5,679.9,681.5,681.9,681.9,681.9,681.8,681.5,681.5,681.5,681.6,681.8,681.9,682,682.2,682.4,682.9,683.2,683.7,684.2,684.8,685.3,685.8,686.5,687,687.6,688.1,,,,,,,,,
Transportation,Recreational Boats,,Trillion Btu,http://cta.ornl.gov/data/spreadsheets.shtml,,,,,,,,,,,,,,,,,,,,,,157.2,159.2,161.2,163.2,165.1,167.1,169.1,171.1,173.1,175.1,177.1,179.1,181.1,183.1,185.1,187.1,189.1,191.1,194.7,198.3,201.8,206.2,210.5,214.8,223.1,231.3,239.5,240.9,242.2,243,243.4,244.9,245.7,246.2,246.2,246.1,245.9,245.8,245.7,245.6,245.2,244.9,238.2,241,241.5,242.3,244.7,247.3,249.6,251.9,253.9,255.8,257.6,259.4,261.2,263.1,264.9,266.5,268.2,269.8,271.5,273,274.4,275.7,276.9,278.1,279.1,280.1,281.1,281.8,282.4,,,,,,,,,
Transportation,Air,,Trillion Btu,http://cta.ornl.gov/data/spreadsheets.shtml,,,,,,,,,,,,,,,,,,,,,,1307,1304,1314,1377,1254,1274,1333,1350,1423,1488,1434,1453,1445,1440,1609,1677,1823,1899,1978,1981,2046,1916,1945,1986,2075,2141,2206,2300,2275,2483,2554,2397,2229,2260,2456,2532,2511,2509,2396,2127,2148,2162,2471.8,2478.3,2501.2,2522.6,2542.9,2560.7,2574.6,2586.8,2597.3,2608.8,2621.2,2633.3,2644.2,2654.4,2663.2,2670,2676.1,2680.9,2685,2688.3,2690.8,2692.4,2692.8,2692.5,2694.6,2696.5,2698.2,2699.3,2700.6,,,,,,,,,
Transportation,Military,,Trillion Btu,http://cta.ornl.gov/data/spreadsheets.shtml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703.6,658.9,665.5,652.2,644.2,640.4,639.3,639,638.6,638.3,638,637.6,641.5,648.1,654.9,661.8,668.8,676,683.3,690.7,698.3,706.1,714,722.2,730.4,738.9,747.5,756.2,765.1,,,,,,,,,
Transportation,Lubricants,,Trillion Btu,http://cta.ornl.gov/data/spreadsheets.shtml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.6,114.8,116.7,118.1,119.3,120.1,120.3,120.2,120.1,119.9,119.8,119.8,119.8,120,120.3,120.7,121,121.3,121.4,121.6,121.6,121.7,121.8,121.8,122,122.1,122.3,122.5,122.7,,,,,,,,,
Transportation,Pipeline,,Trillion Btu,http://cta.ornl.gov/data/spreadsheets.shtml,,,,,,,,,,,,,,,,,,,,,,990.5,1012.5,1037.9,997,933,840,803,786,784,860,896,904,855,740,782,755,735,772,874,890,923,860,846,885,951,967,979,1022,897,908,904,886,931,850,822,842,842,882,911,934,939,949,730.8,725,730,707.9,697.2,703,713.4,727.8,741,749.6,753.9,756.9,759.6,764.9,776.5,788.1,801.2,810.7,819.3,823.6,826.5,829.6,832.4,834.2,832.3,833.8,838.4,842.5,846.3,,,,,,,,,
